year,month,day,type,magnitude,umbral_magnitude,penumbral_magnitude,cat_num
-1999,6,26,N,0.8791,-0.1922,0.8791,1
-1999,11,21,N,0.8143,-0.1921,0.8143,2
-1998,5,17,P,0.2069,0.2069,1.2105,3
-1998,11,11,P,0.974,0.974,2.0382,4
-1997,5,6,T+,1.6963,1.6963,2.6513,5
-1997,10,31,T+,1.4014,1.4014,2.5057,6
-1996,4,25,P,0.7159,0.7159,1.6562,7
-1996,10,19,P,0.1756,0.1756,1.2694,8
-1995,3,16,N,0.6538,-0.3471,0.6538,9
-1995,4,15,N,0.2681,-0.701,0.2681,10
-1995,9,8,N,0.5382,-0.4652,0.5382,11
-1995,10,8,N,0.0836,-0.9571,0.0836,12
-1994,3,6,P,0.9355,0.9355,1.9933,13
-1994,8,29,P,0.8992,0.8992,1.8619,14
-1993,2,23,T-,1.3571,1.3571,2.4408,15
-1993,8,19,T+,1.5744,1.5744,2.5396,16
-1992,2,12,P,0.0571,0.0571,1.1167,17
-1992,8,7,P,0.1748,0.1748,1.1818,18
-1991,1,2,N,0.8451,-0.144,0.8451,19
-1991,6,28,N,0.8298,-0.2379,0.8298,20
-1991,12,22,T,1.1362,1.1362,2.1044,21
-1990,6,17,T,1.1436,1.1436,2.2071,22
-1990,12,12,T-,1.3616,1.3616,2.3547,23
-1989,6,6,T,1.1041,1.1041,2.1212,24
-1989,12,1,Nx,1.0436,-0.0058,1.0436,25
-1988,4,26,N,0.3035,-0.6432,0.3035,26
-1988,5,26,N,0.753,-0.2107,0.753,27
-1988,10,21,N,0.49,-0.6163,0.49,28
-1987,4,16,P,0.6897,0.6897,1.6347,29
-1987,10,10,P,0.6697,0.6697,1.7498,30
-1986,4,6,T+,1.698,1.698,2.6827,31
-1986,9,29,T-,1.6656,1.6656,2.6872,32
-1985,3,26,P,0.2037,0.2037,1.2455,33
-1985,9,18,P,0.4422,0.4422,1.4156,34
-1984,2,13,N,0.6009,-0.483,0.6009,35
-1984,8,9,N,0.6924,-0.2798,0.6924,36
-1984,9,7,N,0.1994,-0.766,0.1994,37
-1983,2,2,P,0.9169,0.9169,1.9646,38
-1983,7,29,P,0.9685,0.9685,1.989,39
-1982,1,22,T+,1.4182,1.4182,2.4129,40
-1982,7,18,T,1.3214,1.3214,2.388,41
-1981,1,12,P,0.1947,0.1947,1.1598,42
-1981,7,7,Nx,1.0195,-0.0534,1.0195,43
-1981,12,3,N,0.8094,-0.1989,0.8094,44
-1980,5,27,P,0.0696,0.0696,1.07,45
-1980,11,21,P,0.9708,0.9708,2.0378,46
-1979,5,17,T+,1.5567,1.5567,2.5092,47
-1979,11,10,T+,1.4059,1.4059,2.5117,48
-1978,5,6,P,0.8515,0.8515,1.7917,49
-1978,10,30,P,0.1873,0.1873,1.2804,50
-1977,3,28,N,0.5303,-0.4717,0.5303,51
-1977,4,26,N,0.3921,-0.5788,0.3921,52
-1977,9,20,N,0.5107,-0.4925,0.5107,53
-1977,10,19,N,0.1009,-0.9384,0.1009,54
-1976,3,16,P,0.8169,0.8169,1.8742,55
-1976,9,8,P,0.8516,0.8516,1.8162,56
-1975,3,5,T-,1.4683,1.4683,2.5483,57
