year,month,day,type,magnitude,max_lat,max_lon,gamma,cat_num
-1999,6,12,T,1.0733,6.0,-33.3,-0.2701,1
-1999,12,5,A,0.9382,-32.9,10.8,-0.2317,2
-1998,6,1,T,1.0284,46.2,83.4,0.4994,3
-1998,11,25,A,0.9806,-67.8,-143.8,-0.9045,4
-1997,4,22,P,0.1611,-60.6,-106.4,-1.467,5
-1997,5,22,P,0.4035,61.7,-151.7,1.3253,6
-1997,10,16,P,0.6954,60.6,-22.7,1.1669,7
-1997,11,14,P,0.0377,-61.5,-27.7,-1.5183,8
-1996,4,10,A,0.9464,-38.2,-167.2,-0.7231,9
-1996,10,4,T,1.0257,28.8,38.6,0.5166,10
-1995,3,30,A,0.9873,-0.2,112.7,0.0609,11
-1995,9,24,A,0.9766,-3.1,-150.0,-0.1863,12
-1994,3,20,T,1.0333,39.4,-73.3,0.8091,13
-1994,9,13,A,0.9249,-48.2,116.1,-0.9265,14
-1993,2,8,P,0.8826,-62.7,-23.1,-1.0699,15
-1993,3,9,Pb,0.0754,61.2,11.4,1.4907,16
-1993,8,3,P,0.4292,63.5,-166.7,1.3116,17
-1992,1,29,T,1.0181,-44.1,-13.3,-0.3875,18
-1992,7,23,H,1.0059,54.0,-39.0,0.5182,19
-1991,1,17,A,0.9599,-3.5,-160.1,0.346,20
-1991,7,12,T,1.0606,10.0,106.3,-0.2421,21
-1990,1,6,P,0.8256,65.4,163.3,1.0749,22
-1990,7,2,T,1.0609,-51.2,-149.5,-0.9623,23
-1990,11,26,P,0.5316,-69.3,-67.4,-1.2517,24
-1989,5,23,H,1.0067,72.1,79.4,0.8616,25
-1989,11,16,H,1.0036,-44.0,-54.1,-0.5096,26
-1988,5,11,A,0.9652,18.3,16.8,0.0987,27
-1988,11,4,T,1.0435,-0.6,106.5,0.1768,28
-1987,5,1,A,0.9464,-31.9,17.1,-0.6733,29
-1987,10,25,T,1.026,48.3,-107.1,0.846,30
-1986,3,21,P,0.3949,71.2,79.3,1.3284,31
-1986,4,20,P,0.2645,-71.5,44.6,-1.4035,32
-1986,9,15,P,0.4983,-71.0,-155.5,-1.2711,33
-1985,3,11,T,1.049,20.3,-44.2,0.5312,34
-1985,9,4,A,0.9272,-21.9,-138.3,-0.5977,35
-1984,2,28,T,1.069,-25.5,81.9,-0.1975,36
-1984,8,23,A,0.9402,24.0,-123.1,0.1151,37
-1983,2,17,T,1.0259,-79.1,-89.1,-0.9309,38
-1983,8,12,A,0.982,75.4,-168.1,0.8332,39
-1982,1,8,P,0.7132,65.6,-85.9,1.1451,40
-1982,7,3,P,0.8933,-64.8,127.1,-1.0663,41
-1982,8,2,Pb,0.0678,67.5,157.3,1.4996,42
-1982,12,28,A,0.9191,4.2,-97.2,0.471,43
-1981,6,23,T,1.0693,3.3,-146.8,-0.3407,44
-1981,12,17,A,0.942,-35.0,-110.7,-0.2249,45
-1980,6,12,T,1.0242,45.0,-19.9,0.4248,46
-1980,12,5,A,0.9845,-72.0,82.1,-0.9018,47
-1979,5,2,Pe,0.011,-60.9,147.5,-1.5543,48
-1979,6,1,P,0.5442,62.3,99.3,1.2453,49
-1979,10,26,P,0.691,60.8,-165.9,1.1691,50
-1979,11,25,P,0.0392,-62.1,-171.7,-1.517,51
-1978,4,21,A,0.9476,-40.6,97.8,-0.8065,52
-1978,10,16,T,1.0214,24.8,-94.0,0.5237,53
-1977,4,11,A,0.9927,0.4,8.5,-0.0139,54
-1977,10,5,A,0.9713,-6.9,84.7,-0.1747,55
-1976,3,30,T,1.0404,37.9,174.7,0.7436,56
-1976,9,23,A,0.9215,-48.2,-2.8,-0.9053,57
-1975,2,18,P,0.807,-62.0,-155.5,-1.1099,58
-1975,3,20,P,0.1811,60.9,-115.5,1.4354,59
-1975,8,14,P,0.3516,62.7,73.8,1.3569,60
-1974,2,8,T,1.0179,-43.3,-131.6,-0.423,61
-1974,8,3,H,1.0057,55.0,-147.6,0.5677,62
-1973,1,28,A,0.9602,-4.2,82.0,0.3168,63
-1973,7,24,T,1.0601,12.9,-11.3,-0.1865,64
-1972,1,17,P,0.8677,64.4,38.0,1.0502,65
-1972,7,12,T,1.0603,-40.7,89.6,-0.9033,66
-1972,12,7,P,0.5347,-68.4,154.4,-1.25,67
-1971,6,2,A,0.9992,81.4,-79.8,0.9435,68
-1971,11,26,H,1.0069,-47.7,175.3,-0.506,69
-1970,5,23,A,0.9625,26.8,-82.7,0.1869,70
-1970,11,16,T,1.0442,-4.4,-29.3,0.1785,71
-1969,5,12,A,0.9485,-22.1,-83.5,-0.5839,72
-1969,11,5,T,1.0233,45.1,115.1,0.8487,73
-1968,3,31,P,0.2843,71.5,-42.9,1.389,74
-1968,4,30,P,0.411,-71.2,-70.6,-1.3203,75
-1968,9,25,P,0.4628,-71.5,69.3,-1.2916,76
-1967,3,21,T,1.0537,27.8,-163.6,0.5876,77
-1967,9,14,A,0.9232,-27.4,104.6,-0.6263,78
-1966,3,11,T,1.0719,-18.7,-38.7,-0.1456,79
-1966,9,3,A,0.939,18.5,123.3,0.0794,80
-1965,2,28,T,1.0279,-71.9,125.0,-0.889,81
-1965,8,23,A,0.9831,67.9,73.2,0.7919,82
-1964,1,19,P,0.6686,66.7,145.4,1.1713,83
-1964,7,14,P,0.7821,-65.8,0.1,-1.1238,84
-1964,8,12,P,0.154,68.5,25.2,1.454,85
-1963,1,7,A,0.9215,5.4,144.8,0.4901,86
-1963,7,3,T,1.0646,-0.1,98.3,-0.4077,87
-1963,12,27,A,0.9464,-35.9,129.6,-0.2134,88
-1962,6,23,T,1.0193,43.0,-124.2,0.3533,89
-1962,12,16,A,0.9893,-76.3,-47.3,-0.8949,90
-1961,6,12,P,0.6797,63.1,-10.3,1.1676,91
-1961,11,7,P,0.691,61.1,50.2,1.169,92
-1961,12,6,P,0.0428,-62.9,44.7,-1.5144,93
-1960,5,2,A,0.9479,-45.2,4.7,-0.8919,94
-1960,10,26,T,1.0175,21.0,132.2,0.5271,95
-1959,4,21,A,0.9977,0.6,-94.7,-0.0923,96
-1959,10,16,A,0.9665,-11.1,-42.0,-0.1688,97
-1958,4,10,T,1.0468,37.0,64.7,0.6719,98
-1958,10,5,A,0.9183,-49.8,-124.6,-0.8914,99
-1957,3,2,P,0.7169,-61.4,74.5,-1.1573,100
-1957,3,31,P,0.2986,60.7,119.5,1.3744,101
-1957,8,25,P,0.2884,62.0,-48.2,1.3938,102
-1957,9,24,Pb,0.0061,-60.7,-147.1,-1.566,103
-1956,2,19,T,1.0176,-42.2,111.9,-0.4649,104
-1956,8,13,H,1.0054,54.4,100.8,0.61,105
-1955,2,8,A,0.9608,-4.4,-33.4,0.2811,106
-1955,8,3,T,1.0589,14.5,-130.1,-0.1359,107
-1954,7,24,T,1.058,-34.1,-31.5,-0.8494,109
-1954,12,18,P,0.5318,-67.3,17.7,-1.2518,110
-1953,6,14,P,0.9489,68.0,99.1,1.0223,111
-1953,12,7,H,1.0107,-50.8,46.4,-0.505,112
-1952,6,2,A,0.9595,34.9,178.5,0.2734,113
-1952,11,26,T,1.0452,-7.7,-164.7,0.1792,114
-1951,5,22,A,0.9502,-13.1,176.9,-0.4945,115
-1951,11,16,T,1.0211,42.4,-22.8,0.852,116
-1950,4,12,P,0.1642,71.5,-164.0,1.4542,117
-1950,5,11,P,0.5621,-70.6,174.6,-1.2352,118
-1950,10,6,P,0.4387,-71.7,-67.9,-1.3058,119
-1949,4,1,T,1.0576,36.0,77.8,0.6496,120
-1949,9,26,A,0.9197,-32.8,-14.4,-0.6477,121
-1948,3,21,T,1.0742,-11.4,-158.1,-0.0878,122
-1948,9,14,A,0.938,13.1,6.6,0.0521,123
-1947,3,11,T,1.0294,-63.3,-4.3,-0.839,124
-1947,9,3,A,0.9839,61.0,-48.4,0.7585,125
-1946,1,29,P,0.611,67.8,18.9,1.2051,126
-1946,7,25,P,0.6819,-66.8,-129.1,-1.1756,127
-1946,8,23,P,0.2262,69.4,-109.9,1.4157,128
-1945,1,18,A,0.9243,7.8,28.7,0.5161,129
-1945,7,15,T,1.0593,-4.1,-18.5,-0.4692,130
-1944,1,7,A,0.9514,-35.5,11.1,-0.1977,131
-1944,7,3,H,1.0139,40.3,130.4,0.2846,132
-1944,12,27,A,0.9946,-80.4,-169.0,-0.8854,133
-1943,6,22,P,0.8113,63.9,-120.4,1.0914,134
-1943,11,17,P,0.6919,61.6,-94.1,1.1685,135
-1943,12,16,P,0.0512,-63.7,-98.4,-1.5092,136
-1942,5,13,A,0.9462,-54.8,-81.5,-0.9784,137
-1942,11,7,H3,1.0143,17.4,-2.2,0.5284,138
-1941,5,2,Hm,1.0021,0.5,161.9,-0.1717,139
-1941,10,27,A,0.9623,-15.5,-169.1,-0.1649,140
-1940,4,21,T,1.0524,36.8,-44.7,0.5983,141
-1940,10,15,A,0.9156,-52.3,112.2,-0.8816,142
-1939,3,12,P,0.6133,-61.0,-53.1,-1.2114,143
-1939,4,10,P,0.4259,60.6,-4.1,1.3086,144
-1939,9,4,P,0.2384,61.4,-172.6,1.423,145
-1939,10,4,P,0.0367,-60.5,85.4,-1.5481,146
-1938,3,2,T,1.0169,-41.0,-2.1,-0.5156,147
-1938,8,25,H,1.005,52.6,-15.0,0.6444,148
-1937,2,19,A,0.9613,-4.4,-145.3,0.2352,149
-1937,8,14,T,1.0574,14.8,108.7,-0.0934,150
-1936,2,8,An,0.9202,53.9,167.7,0.9793,151
-1936,8,3,T,1.0548,-29.8,-153.4,-0.8011,152
-1936,12,28,P,0.5216,-66.2,-117.4,-1.2579,153
-1935,6,24,P,0.8073,67.0,-18.0,1.0997,154
-1935,12,18,H2,1.015,-53.2,-80.5,-0.507,155
-1934,6,13,A,0.9558,42.5,81.0,0.3594,156
-1934,12,7,T,1.0468,-10.4,60.5,0.1788,157
-1933,6,2,A,0.9512,-4.8,77.7,-0.406,158
-1933,11,27,T,1.0194,40.1,-160.5,0.8553,159
-1932,4,22,Pe,0.0401,71.2,75.4,1.521,160
-1932,5,21,P,0.7135,-69.9,59.9,-1.1505,161
-1932,10,17,P,0.4228,-71.6,153.6,-1.3152,162
-1931,4,12,T,1.0608,44.8,-40.6,0.7158,163
-1931,10,6,A,0.9167,-38.0,-135.1,-0.663,164
-1930,4,1,Tm,1.076,-3.7,83.6,-0.0247,165
-1930,9,25,A,0.9374,7.7,-112.5,0.0317,166
-1929,3,22,T,1.0303,-54.5,-127.0,-0.7834,167
